Phrase,Sentiment
sad poor angry failure,Negative
wonderful creative successful joyful,Positive
joyful inspired excellent,Positive
horrible terrible poor sad,Negative
horrible angry weak,Negative
bad sad angry horrible,Negative
successful strong inspired happy,Positive
sad terrible frustrated disappointing,Negative
horrible sad frustrated angry,Negative
usual normal standard regular,Neutral
wonderful joyful happy,Positive
excellent wonderful happy,Positive
frustrated terrible angry poor,Negative
regular basic normal,Neutral
poor sad,Negative
average adequate,Neutral
sufficient basic normal typical,Neutral
weak angry,Negative
failure angry disappointing,Negative
terrible poor disappointing,Negative
regular typical,Neutral
successful wonderful strong inspired,Positive
common standard usual typical,Neutral
failure poor terrible,Negative
basic common normal,Neutral
successful creative brilliant,Positive
bad failure angry weak,Negative
weak poor,Negative
joyful wonderful good strong,Positive
bad terrible disappointing horrible,Negative
poor sad frustrated,Negative
normal sufficient standard common,Neutral
usual normal,Neutral
standard sufficient average,Neutral
regular common average typical,Neutral
normal basic,Neutral
usual typical,Neutral
successful inspired strong joyful,Positive
typical normal basic regular,Neutral
adequate regular common standard,Neutral
average adequate,Neutral
regular standard typical sufficient,Neutral
joyful excellent wonderful,Positive
joyful good excellent,Positive
happy joyful inspired brilliant,Positive
excellent inspired happy,Positive
sufficient basic adequate,Neutral
usual average,Neutral
sad failure,Negative
sad terrible angry,Negative
basic regular common,Neutral
average typical basic usual,Neutral
adequate average,Neutral
sad angry,Negative
frustrated disappointing,Negative
poor bad sad weak,Negative
bad disappointing,Negative
regular common sufficient,Neutral
poor horrible frustrated bad,Negative
poor frustrated,Negative
terrible weak frustrated sad,Negative
typical regular common,Neutral
horrible disappointing,Negative
sufficient common,Neutral
standard usual,Neutral
terrible poor disappointing bad,Negative
sad frustrated terrible,Negative
weak angry disappointing,Negative
adequate normal sufficient,Neutral
average common,Neutral
weak poor horrible sad,Negative
successful happy good strong,Positive
excellent good creative happy,Positive
wonderful successful inspired creative,Positive
sad failure angry,Negative
typical adequate average basic,Neutral
regular usual normal,Neutral
typical basic,Neutral
joyful brilliant successful strong,Positive
successful inspired joyful,Positive
failure terrible,Negative
good creative,Positive
excellent joyful brilliant good,Positive
adequate common average usual,Neutral
weak disappointing failure,Negative
strong creative,Positive
creative good strong joyful,Positive
bad failure terrible,Negative
successful happy creative,Positive
common adequate normal,Neutral
disappointing terrible bad,Negative
happy joyful wonderful,Positive
usual average normal,Neutral
sad terrible failure,Negative
happy creative good,Positive
bad frustrated,Negative
bad disappointing weak,Negative
typical sufficient standard,Neutral
joyful successful good happy,Positive
typical sufficient basic adequate,Neutral
creative successful inspired,Positive
basic normal,Neutral
strong joyful creative happy,Positive
angry poor sad,Negative
regular sufficient usual normal,Neutral
excellent creative,Positive
horrible failure,Negative
good wonderful strong inspired,Positive
average regular,Neutral
sufficient adequate typical,Neutral
horrible sad,Negative
creative excellent,Positive
normal standard basic sufficient,Neutral
successful inspired,Positive
average common,Neutral
excellent wonderful,Positive
poor bad angry frustrated,Negative
typical normal basic,Neutral
terrible frustrated poor,Negative
successful joyful excellent wonderful,Positive
common sufficient typical basic,Neutral
happy inspired successful excellent,Positive
joyful happy good brilliant,Positive
wonderful excellent joyful brilliant,Positive
common sufficient basic average,Neutral
failure sad,Negative
weak disappointing terrible angry,Negative
angry terrible disappointing,Negative
bad disappointing angry,Negative
sad failure,Negative
successful good,Positive
inspired successful brilliant wonderful,Positive
usual normal common sufficient,Neutral
horrible sad,Negative
happy inspired wonderful,Positive
creative excellent,Positive
sufficient average common,Neutral
brilliant creative,Positive
successful inspired,Positive
weak sad angry,Negative
basic regular usual,Neutral
poor sad angry horrible,Negative
failure weak terrible sad,Negative
good creative happy strong,Positive
frustrated failure,Negative
inspired creative good strong,Positive
sad horrible angry,Negative
creative happy inspired,Positive
weak horrible bad,Negative
strong happy,Positive
strong brilliant excellent,Positive
poor terrible bad disappointing,Negative
common basic,Neutral
terrible failure,Negative
normal average adequate regular,Neutral
joyful brilliant,Positive
excellent joyful creative,Positive
sufficient average,Neutral
weak frustrated terrible failure,Negative
sad weak angry,Negative
disappointing weak,Negative
regular standard typical,Neutral
poor horrible terrible,Negative
adequate typical basic average,Neutral
angry disappointing,Negative
successful inspired,Positive
weak horrible,Negative
brilliant creative,Positive
typical usual,Neutral
basic standard adequate typical,Neutral
good strong happy successful,Positive
regular typical,Neutral
bad sad,Negative
common adequate,Neutral
average common,Neutral
wonderful joyful inspired excellent,Positive
failure weak sad bad,Negative
joyful wonderful,Positive
frustrated poor sad,Negative
normal basic standard,Neutral
creative happy,Positive
bad terrible angry,Negative
wonderful strong,Positive
normal regular,Neutral
poor failure,Negative
inspired good,Positive
happy brilliant wonderful,Positive
angry terrible,Negative
regular sufficient typical basic,Neutral
basic normal regular,Neutral
normal sufficient regular,Neutral
horrible disappointing frustrated,Negative
bad angry failure weak,Negative
regular basic adequate standard,Neutral
adequate standard regular common,Neutral
inspired wonderful joyful,Positive
usual regular,Neutral
terrible poor sad frustrated,Negative
sufficient common normal,Neutral
poor failure bad,Negative
horrible sad weak failure,Negative
happy joyful successful,Positive
strong wonderful inspired happy,Positive
typical adequate,Neutral
normal regular,Neutral
inspired brilliant,Positive
happy wonderful successful,Positive
adequate common basic sufficient,Neutral
angry weak failure,Negative
standard normal typical,Neutral
wonderful good,Positive
common average sufficient standard,Neutral
normal basic usual common,Neutral
bad poor disappointing frustrated,Negative
brilliant inspired strong,Positive
average regular basic,Neutral
basic typical usual standard,Neutral
common basic,Neutral
brilliant strong,Positive
creative excellent brilliant inspired,Positive
horrible sad angry,Negative
regular sufficient typical normal,Neutral
joyful good brilliant,Positive
sad frustrated,Negative
failure weak angry,Negative
brilliant inspired wonderful excellent,Positive
successful brilliant,Positive
creative brilliant,Positive
typical common,Neutral
adequate sufficient,Neutral
sufficient usual basic,Neutral
usual normal common typical,Neutral
creative happy,Positive
common usual,Neutral
horrible frustrated poor,Negative
standard normal,Neutral
usual average adequate standard,Neutral
inspired happy,Positive
basic regular sufficient normal,Neutral
average sufficient basic,Neutral
standard common,Neutral
angry poor frustrated,Negative
bad angry,Negative
successful joyful good,Positive
angry weak sad terrible,Negative
happy good strong,Positive
basic regular,Neutral
failure sad,Negative
poor angry,Negative
adequate usual,Neutral
inspired happy excellent,Positive
normal regular,Neutral
poor disappointing horrible frustrated,Negative
usual regular,Neutral
sufficient typical,Neutral
adequate regular basic typical,Neutral
normal typical standard regular,Neutral
excellent successful,Positive
failure angry weak frustrated,Negative
average regular sufficient,Neutral
basic regular sufficient typical,Neutral
normal adequate,Neutral
terrible failure,Negative
wonderful brilliant,Positive
sufficient adequate,Neutral
basic common standard,Neutral
standard sufficient regular usual,Neutral
angry bad poor frustrated,Negative
adequate standard sufficient typical,Neutral
sufficient average basic,Neutral
brilliant strong successful,Positive
excellent good,Positive
average normal basic usual,Neutral
typical basic adequate,Neutral
angry disappointing,Negative
basic normal average usual,Neutral
horrible weak,Negative
disappointing weak sad failure,Negative
basic typical,Neutral
frustrated weak sad,Negative
typical sufficient average,Neutral
good creative inspired brilliant,Positive
adequate usual basic sufficient,Neutral
average normal,Neutral
failure bad horrible angry,Negative
joyful successful strong creative,Positive
wonderful strong brilliant excellent,Positive
standard normal usual,Neutral
inspired happy brilliant,Positive
brilliant happy creative inspired,Positive
common regular,Neutral
angry frustrated weak,Negative
disappointing angry,Negative
inspired excellent,Positive
adequate common typical,Neutral
joyful brilliant,Positive
standard usual normal,Neutral
terrible frustrated angry disappointing,Negative
joyful strong excellent creative,Positive
sad frustrated,Negative
weak bad disappointing terrible,Negative
weak frustrated sad angry,Negative
regular typical,Neutral
angry bad horrible sad,Negative
wonderful creative happy good,Positive
joyful happy inspired,Positive
common usual basic regular,Neutral
disappointing bad horrible,Negative
good successful joyful excellent,Positive
successful inspired,Positive
happy joyful wonderful,Positive
basic normal regular usual,Neutral
average regular,Neutral
weak disappointing,Negative
angry bad weak disappointing,Negative
weak sad angry,Negative
happy inspired joyful,Positive
poor disappointing bad,Negative
good inspired happy,Positive
wonderful strong happy brilliant,Positive
successful creative joyful brilliant,Positive
creative joyful good,Positive
brilliant excellent successful,Positive
creative successful wonderful happy,Positive
standard normal,Neutral
bad poor angry,Negative
sad weak failure,Negative
adequate standard average basic,Neutral
sufficient basic,Neutral
good strong inspired wonderful,Positive
poor disappointing weak angry,Negative
horrible poor terrible,Negative
angry terrible,Negative
angry disappointing terrible,Negative
terrible sad angry,Negative
strong good wonderful,Positive
basic normal typical usual,Neutral
failure poor,Negative
strong wonderful,Positive
successful good creative brilliant,Positive
strong good,Positive
poor failure,Negative
normal adequate common basic,Neutral
bad horrible sad,Negative
average normal regular,Neutral
sad horrible,Negative
inspired happy brilliant strong,Positive
happy strong successful creative,Positive
angry failure,Negative
horrible angry failure,Negative
good happy excellent brilliant,Positive
typical common average,Neutral
excellent happy,Positive
good happy wonderful joyful,Positive
strong happy,Positive
usual normal common,Neutral
disappointing terrible,Negative
sufficient usual common,Neutral
angry failure sad,Negative
frustrated weak poor disappointing,Negative
angry frustrated,Negative
creative joyful brilliant,Positive
terrible poor disappointing sad,Negative
brilliant strong inspired,Positive
regular adequate,Neutral
horrible bad disappointing failure,Negative
weak bad terrible,Negative
terrible bad failure,Negative
frustrated terrible poor,Negative
bad horrible sad frustrated,Negative
excellent creative,Positive
regular basic standard average,Neutral
poor terrible disappointing,Negative
wonderful good successful joyful,Positive
successful good,Positive
sufficient regular,Neutral
brilliant excellent strong successful,Positive
bad failure weak,Negative
failure bad terrible disappointing,Negative
terrible weak bad disappointing,Negative
average common,Neutral
frustrated bad horrible,Negative
excellent joyful,Positive
wonderful joyful inspired creative,Positive
failure horrible,Negative
successful good brilliant wonderful,Positive
sad poor frustrated failure,Negative
basic sufficient regular,Neutral
happy excellent,Positive
strong creative successful,Positive
disappointing sad,Negative
wonderful excellent strong creative,Positive
sufficient standard,Neutral
brilliant successful,Positive
successful wonderful joyful creative,Positive
standard basic adequate,Neutral
average usual,Neutral
strong successful happy,Positive
creative happy,Positive
typical average usual,Neutral
standard adequate basic,Neutral
angry poor weak,Negative
weak sad disappointing angry,Negative
terrible weak horrible,Negative
excellent joyful good,Positive
typical usual,Neutral
creative excellent,Positive
disappointing terrible frustrated,Negative
joyful inspired good,Positive
regular normal common,Neutral
failure sad,Negative
wonderful strong good,Positive
adequate standard average common,Neutral
sufficient usual basic,Neutral
bad failure angry sad,Negative
wonderful brilliant creative excellent,Positive
adequate sufficient basic,Neutral
disappointing frustrated,Negative
standard basic usual,Neutral
disappointing angry frustrated,Negative
poor terrible,Negative
joyful successful,Positive
standard common basic,Neutral
successful good excellent,Positive
good creative excellent,Positive
successful creative inspired joyful,Positive
standard typical,Neutral
brilliant creative,Positive
basic sufficient adequate common,Neutral
brilliant happy,Positive
excellent wonderful inspired successful,Positive
weak bad horrible frustrated,Negative
average standard adequate,Neutral
average adequate common usual,Neutral
disappointing frustrated,Negative
creative wonderful,Positive
disappointing failure frustrated,Negative
creative inspired,Positive
terrible poor weak,Negative
typical standard regular average,Neutral
sad failure,Negative
brilliant excellent joyful inspired,Positive
standard regular,Neutral
brilliant excellent strong successful,Positive
disappointing sad,Negative
average basic,Neutral
typical normal standard usual,Neutral
brilliant wonderful joyful,Positive
terrible disappointing failure horrible,Negative
standard regular typical basic,Neutral
sufficient common regular,Neutral
terrible horrible disappointing angry,Negative
joyful inspired successful good,Positive
typical basic normal,Neutral
poor disappointing,Negative
wonderful excellent,Positive
weak poor,Negative
bad failure,Negative
sufficient standard average,Neutral
horrible weak terrible bad,Negative
happy wonderful excellent inspired,Positive
terrible bad disappointing,Negative
regular typical usual,Neutral
brilliant excellent strong happy,Positive
brilliant happy joyful excellent,Positive
horrible weak,Negative
creative excellent,Positive
brilliant strong creative wonderful,Positive
creative joyful excellent inspired,Positive
average standard usual typical,Neutral
typical adequate basic,Neutral
adequate basic usual regular,Neutral
good wonderful brilliant joyful,Positive
normal average basic typical,Neutral
sufficient common usual,Neutral
standard typical,Neutral
typical basic standard sufficient,Neutral
adequate standard usual,Neutral
brilliant wonderful good successful,Positive
good excellent,Positive
sufficient regular basic,Neutral
brilliant wonderful strong creative,Positive
standard adequate regular,Neutral
common adequate normal,Neutral
disappointing poor,Negative
excellent happy strong inspired,Positive
good inspired strong excellent,Positive
successful inspired,Positive
strong successful,Positive
frustrated bad sad failure,Negative
terrible frustrated,Negative
joyful brilliant strong,Positive
terrible frustrated disappointing failure,Negative
disappointing angry,Negative
sad bad disappointing failure,Negative
successful happy brilliant creative,Positive
adequate normal basic sufficient,Neutral
usual normal adequate,Neutral
disappointing frustrated,Negative
failure angry frustrated poor,Negative
adequate regular usual common,Neutral
average usual basic standard,Neutral
adequate basic,Neutral
successful creative inspired brilliant,Positive
average usual sufficient regular,Neutral
typical regular average basic,Neutral
strong excellent happy creative,Positive
frustrated angry weak disappointing,Negative
weak poor disappointing bad,Negative
frustrated sad disappointing weak,Negative
inspired creative successful wonderful,Positive
good happy strong wonderful,Positive
normal adequate sufficient usual,Neutral
inspired excellent strong,Positive
strong good,Positive
normal regular typical sufficient,Neutral
average sufficient usual regular,Neutral
sufficient average normal,Neutral
sad horrible terrible bad,Negative
disappointing frustrated failure,Negative
basic regular sufficient common,Neutral
happy strong,Positive
terrible horrible frustrated,Negative
good inspired strong excellent,Positive
standard average normal,Neutral
strong wonderful creative,Positive
poor horrible,Negative
joyful excellent strong happy,Positive
basic standard usual normal,Neutral
usual regular,Neutral
wonderful strong,Positive
disappointing sad,Negative
bad disappointing,Negative
angry frustrated sad,Negative
weak failure,Negative
sad weak terrible angry,Negative
regular basic normal,Neutral
standard basic regular sufficient,Neutral
standard adequate basic average,Neutral
regular standard,Neutral
basic sufficient,Neutral
common usual,Neutral
usual standard,Neutral
regular standard average basic,Neutral
frustrated horrible angry bad,Negative
regular average,Neutral
frustrated terrible horrible failure,Negative
standard sufficient average normal,Neutral
good inspired,Positive
terrible disappointing sad frustrated,Negative
successful happy excellent good,Positive
terrible frustrated sad,Negative
brilliant wonderful joyful,Positive
creative wonderful,Positive
disappointing angry bad horrible,Negative
sufficient regular adequate,Neutral
inspired joyful strong excellent,Positive
sufficient typical normal average,Neutral
wonderful inspired creative excellent,Positive
bad frustrated,Negative
sad disappointing poor,Negative
horrible terrible angry,Negative
basic usual,Neutral
creative strong successful,Positive
common normal regular average,Neutral
adequate typical usual,Neutral
poor sad,Negative
joyful excellent,Positive
standard adequate,Neutral
frustrated bad poor,Negative
wonderful excellent creative brilliant,Positive
usual typical,Neutral
happy brilliant strong joyful,Positive
good inspired creative strong,Positive
excellent creative,Positive
happy wonderful,Positive
strong joyful inspired,Positive
typical regular adequate,Neutral
inspired creative happy,Positive
strong creative,Positive
regular standard adequate,Neutral
usual average adequate,Neutral
frustrated disappointing,Negative
poor terrible weak,Negative
happy creative successful inspired,Positive
inspired creative brilliant,Positive
adequate regular usual normal,Neutral
horrible terrible,Negative
normal basic,Neutral
frustrated horrible weak,Negative
inspired excellent joyful,Positive
happy joyful excellent creative,Positive
terrible failure,Negative
regular average sufficient,Neutral
average usual common,Neutral
happy good inspired brilliant,Positive
adequate sufficient basic,Neutral
regular sufficient,Neutral
good joyful,Positive
basic regular,Neutral
weak disappointing poor bad,Negative
usual average adequate,Neutral
basic normal sufficient,Neutral
sufficient standard normal,Neutral
successful strong creative inspired,Positive
excellent successful,Positive
weak frustrated horrible bad,Negative
inspired good creative wonderful,Positive
bad poor weak angry,Negative
poor horrible,Negative
sufficient typical adequate normal,Neutral
good strong wonderful,Positive
strong good,Positive
happy inspired creative strong,Positive
normal usual,Neutral
horrible terrible failure,Negative
sufficient adequate,Neutral
sufficient average normal,Neutral
typical basic average common,Neutral
basic typical sufficient,Neutral
bad disappointing,Negative
good creative excellent,Positive
poor horrible,Negative
wonderful happy good,Positive
common typical sufficient,Neutral
creative happy excellent,Positive
basic regular typical common,Neutral
average normal,Neutral
average usual,Neutral
strong creative brilliant inspired,Positive
typical common,Neutral
joyful excellent happy,Positive
sufficient standard,Neutral
disappointing angry,Negative
common adequate typical regular,Neutral
basic average adequate sufficient,Neutral
common normal adequate,Neutral
happy excellent,Positive
typical common adequate standard,Neutral
regular basic average adequate,Neutral
typical common,Neutral
normal typical basic average,Neutral
wonderful joyful successful,Positive
normal basic average typical,Neutral
sad horrible bad poor,Negative
normal basic common typical,Neutral
horrible sad,Negative
usual regular sufficient,Neutral
excellent brilliant happy,Positive
common average,Neutral
sad poor,Negative
typical usual normal average,Neutral
excellent inspired brilliant creative,Positive
basic average,Neutral
usual typical,Neutral
terrible bad disappointing,Negative
regular usual normal,Neutral
standard average adequate normal,Neutral
strong successful,Positive
regular standard average adequate,Neutral
basic sufficient common usual,Neutral
common usual normal average,Neutral
normal common sufficient standard,Neutral
standard average common usual,Neutral
standard basic,Neutral
normal sufficient regular usual,Neutral
typical usual,Neutral
successful brilliant good,Positive
normal standard typical,Neutral
wonderful inspired excellent,Positive
regular usual,Neutral
common adequate average,Neutral
common regular,Neutral
angry weak frustrated,Negative
angry disappointing,Negative
failure bad,Negative
common basic,Neutral
frustrated terrible failure,Negative
good excellent,Positive
wonderful inspired,Positive
weak terrible,Negative
disappointing terrible weak bad,Negative
brilliant good creative inspired,Positive
bad sad,Negative
typical common,Neutral
usual adequate average basic,Neutral
disappointing horrible weak terrible,Negative
common adequate,Neutral
regular standard normal,Neutral
horrible poor,Negative
inspired happy,Positive
happy successful,Positive
adequate normal sufficient regular,Neutral
good inspired successful strong,Positive
creative successful,Positive
weak angry terrible failure,Negative
weak horrible,Negative
terrible failure sad,Negative
creative brilliant wonderful joyful,Positive
failure terrible sad,Negative
typical common regular,Neutral
brilliant successful,Positive
joyful happy excellent good,Positive
regular usual average normal,Neutral
sufficient average,Neutral
sufficient normal,Neutral
angry weak frustrated,Negative
adequate average,Neutral
normal regular,Neutral
bad sad failure terrible,Negative
angry disappointing weak terrible,Negative
frustrated weak,Negative
common sufficient,Neutral
creative strong wonderful,Positive
inspired successful happy,Positive
successful excellent,Positive
wonderful happy inspired excellent,Positive
common regular usual,Neutral
happy good inspired creative,Positive
regular normal adequate,Neutral
inspired wonderful brilliant,Positive
wonderful strong successful inspired,Positive
usual standard,Neutral
successful inspired brilliant excellent,Positive
normal sufficient,Neutral
joyful wonderful,Positive
terrible poor weak,Negative
terrible horrible,Negative
regular basic standard usual,Neutral
disappointing weak terrible failure,Negative
good strong happy,Positive
standard basic usual,Neutral
angry frustrated sad weak,Negative
strong inspired joyful,Positive
creative strong successful excellent,Positive
sufficient typical normal regular,Neutral
terrible poor,Negative
common usual regular,Neutral
joyful creative successful good,Positive
creative successful inspired strong,Positive
disappointing poor,Negative
terrible horrible disappointing,Negative
adequate sufficient,Neutral
terrible sad failure weak,Negative
joyful strong brilliant,Positive
regular adequate basic standard,Neutral
usual standard,Neutral
inspired creative,Positive
horrible weak bad sad,Negative
strong good,Positive
weak terrible,Negative
inspired strong wonderful,Positive
strong joyful successful,Positive
frustrated weak,Negative
strong wonderful,Positive
usual normal,Neutral
standard normal,Neutral
standard common usual,Neutral
failure horrible disappointing,Negative
good inspired excellent,Positive
typical regular standard usual,Neutral
poor angry bad disappointing,Negative
brilliant happy,Positive
creative excellent,Positive
sad failure terrible,Negative
disappointing failure,Negative
basic normal,Neutral
typical average,Neutral
normal sufficient typical,Neutral
poor sad terrible,Negative
terrible failure horrible,Negative
brilliant inspired wonderful,Positive
creative brilliant joyful,Positive
happy strong creative,Positive
sufficient standard,Neutral
frustrated weak horrible,Negative
happy brilliant,Positive
frustrated disappointing sad,Negative
adequate basic average sufficient,Neutral
excellent joyful good,Positive
sad angry failure,Negative
frustrated horrible angry,Negative
weak failure terrible,Negative
successful joyful,Positive
horrible terrible,Negative
successful good happy,Positive
frustrated horrible angry failure,Negative
adequate standard average common,Neutral
angry terrible frustrated,Negative
poor weak disappointing,Negative
sad bad failure terrible,Negative
horrible weak,Negative
failure frustrated sad angry,Negative
disappointing sad,Negative
excellent strong successful creative,Positive
strong wonderful happy,Positive
brilliant good,Positive
standard usual sufficient,Neutral
inspired happy good,Positive
happy good excellent strong,Positive
sad weak frustrated,Negative
wonderful inspired,Positive
common sufficient,Neutral
sufficient basic,Neutral
bad sad poor,Negative
happy strong,Positive
sad disappointing angry failure,Negative
typical basic adequate normal,Neutral
good brilliant,Positive
typical standard adequate,Neutral
regular adequate common,Neutral
disappointing bad terrible sad,Negative
horrible poor frustrated angry,Negative
common normal usual,Neutral
bad horrible,Negative
standard regular usual,Neutral
horrible weak frustrated poor,Negative
angry sad bad disappointing,Negative
sad weak disappointing,Negative
frustrated terrible horrible angry,Negative
inspired brilliant,Positive
successful joyful excellent,Positive
sufficient adequate,Neutral
basic average usual,Neutral
normal typical usual,Neutral
excellent brilliant creative,Positive
disappointing failure angry,Negative
sad poor angry,Negative
bad failure poor terrible,Negative
usual common typical adequate,Neutral
joyful brilliant inspired,Positive
strong wonderful,Positive
disappointing terrible angry weak,Negative
poor sad disappointing,Negative
average typical common sufficient,Neutral
common basic,Neutral
angry horrible terrible sad,Negative
weak angry disappointing,Negative
standard typical normal,Neutral
good excellent inspired,Positive
common standard usual,Neutral
inspired happy,Positive
bad failure horrible frustrated,Negative
good excellent joyful,Positive
standard normal usual typical,Neutral
frustrated bad weak,Negative
good brilliant,Positive
sufficient average regular common,Neutral
bad disappointing frustrated terrible,Negative
frustrated terrible poor disappointing,Negative
normal sufficient standard,Neutral
bad weak terrible failure,Negative
terrible bad,Negative
poor sad failure,Negative
failure angry disappointing,Negative
poor angry,Negative
common standard,Neutral
good brilliant strong wonderful,Positive
standard basic common,Neutral
sad angry,Negative
joyful brilliant,Positive
strong creative happy,Positive
typical regular usual,Neutral
disappointing bad weak,Negative
sad disappointing failure terrible,Negative
poor frustrated,Negative
creative brilliant happy strong,Positive
typical regular common adequate,Neutral
standard common typical,Neutral
adequate typical usual,Neutral
inspired successful excellent good,Positive
strong wonderful,Positive
average normal basic,Neutral
weak terrible frustrated angry,Negative
angry sad terrible,Negative
sufficient usual basic standard,Neutral
successful happy joyful strong,Positive
sad angry bad frustrated,Negative
happy inspired,Positive
happy good,Positive
usual basic standard,Neutral
horrible bad,Negative
creative brilliant,Positive
regular average,Neutral
disappointing frustrated,Negative
creative brilliant,Positive
creative joyful strong,Positive
good successful brilliant joyful,Positive
inspired creative excellent joyful,Positive
joyful inspired excellent good,Positive
creative happy inspired successful,Positive
wonderful excellent brilliant creative,Positive
good successful strong happy,Positive
usual sufficient typical regular,Neutral
sufficient basic,Neutral
standard normal average usual,Neutral
terrible poor,Negative
typical regular,Neutral
joyful wonderful inspired,Positive
usual common,Neutral
terrible poor angry,Negative
typical basic sufficient,Neutral
disappointing poor bad,Negative
frustrated sad,Negative
basic common regular standard,Neutral
poor frustrated,Negative
adequate basic usual common,Neutral
common standard typical adequate,Neutral
brilliant wonderful joyful,Positive
normal adequate usual average,Neutral
sad weak,Negative
wonderful excellent strong inspired,Positive
common sufficient,Neutral
basic regular normal,Neutral
standard basic adequate,Neutral
usual average,Neutral
angry disappointing terrible,Negative
joyful wonderful happy,Positive
successful joyful,Positive
bad horrible angry sad,Negative
frustrated angry disappointing horrible,Negative
creative excellent,Positive
failure terrible,Negative
adequate common,Neutral
wonderful good inspired successful,Positive
normal average basic usual,Neutral
poor weak,Negative
adequate typical,Neutral
regular common,Neutral
normal regular average basic,Neutral
weak failure disappointing,Negative
creative joyful,Positive
angry sad weak frustrated,Negative
strong creative,Positive
weak disappointing,Negative
usual average basic,Neutral
poor horrible,Negative
joyful inspired,Positive
terrible sad disappointing weak,Negative
frustrated horrible angry disappointing,Negative
good joyful brilliant inspired,Positive
regular basic,Neutral
failure sad,Negative
creative inspired successful happy,Positive
terrible horrible,Negative
successful excellent inspired creative,Positive
horrible disappointing,Negative
typical usual,Neutral
weak terrible,Negative
wonderful successful,Positive
strong happy,Positive
sufficient common adequate usual,Neutral
brilliant excellent successful good,Positive
frustrated weak,Negative
poor disappointing,Negative
bad angry failure sad,Negative
bad failure terrible angry,Negative
good inspired,Positive
joyful successful,Positive
horrible poor,Negative
successful brilliant strong happy,Positive
standard usual common,Neutral
angry horrible sad,Negative
terrible sad disappointing,Negative
wonderful happy strong,Positive
inspired creative joyful strong,Positive
basic normal regular,Neutral
basic average,Neutral
standard sufficient,Neutral
regular common basic,Neutral
angry terrible,Negative
good strong,Positive
frustrated failure terrible sad,Negative
sad bad weak,Negative
good joyful wonderful happy,Positive
disappointing horrible,Negative
standard basic,Neutral
strong happy,Positive
brilliant good strong,Positive
horrible poor failure,Negative
usual basic adequate,Neutral
excellent inspired creative successful,Positive
creative strong inspired good,Positive
normal sufficient usual,Neutral
adequate normal usual standard,Neutral
usual basic,Neutral
brilliant inspired,Positive
weak sad frustrated poor,Negative
regular average sufficient,Neutral
failure bad,Negative
failure angry terrible frustrated,Negative
average regular normal,Neutral
inspired creative,Positive
bad horrible frustrated disappointing,Negative
